,0,1,2
0,4.139,0.502,22.75659
1,4.127,0.5,22.74099
2,4.125,0.499,22.74099
3,4.124,0.499,22.74099
4,4.123,0.5,22.74099
5,4.122,0.5,22.74099
6,4.121,0.5,22.75659
7,4.12,0.5,22.75659
8,4.12,0.499,22.74099
9,4.119,0.5,22.74099
10,4.118,0.499,22.75659
11,4.117,0.5,22.75659
12,4.117,0.5,22.75659
13,4.116,0.5,22.75659
14,4.115,0.5,22.74099
15,4.115,0.5,22.74099
16,4.114,0.499,22.75659
17,4.113,0.5,22.75659
18,4.113,0.5,22.77218
19,4.112,0.5,22.77218
20,4.111,0.5,22.75659
21,4.111,0.5,22.75659
22,4.11,0.5,22.77218
23,4.11,0.5,22.77218
24,4.109,0.5,22.75659
25,4.109,0.5,22.77218
26,4.108,0.5,22.75659
27,4.107,0.499,22.75659
28,4.107,0.5,22.75659
29,4.107,0.5,22.77218
30,4.106,0.5,22.75659
31,4.105,0.5,22.77218
32,4.105,0.5,22.75659
33,4.105,0.5,22.75659
34,4.104,0.5,22.77218
35,4.104,0.5,22.78777
36,4.103,0.5,22.77218
37,4.103,0.5,22.78777
38,4.102,0.5,22.77218
39,4.102,0.5,22.77218
40,4.101,0.5,22.78777
41,4.101,0.5,22.78777
42,4.1,0.5,22.78777
43,4.1,0.5,22.78777
44,4.1,0.499,22.78777
45,4.099,0.5,22.78777
46,4.099,0.499,22.80336
47,4.098,0.5,22.80336
48,4.098,0.5,22.78777
49,4.098,0.5,22.78777
50,4.097,0.5,22.78777
51,4.097,0.5,22.78777
52,4.097,0.5,22.78777
53,4.096,0.5,22.80336
54,4.096,0.5,22.80336
55,4.095,0.5,22.78777
56,4.095,0.499,22.78777
57,4.095,0.5,22.78777
58,4.094,0.5,22.78777
59,4.094,0.5,22.80336
60,4.094,0.499,22.80336
61,4.093,0.5,22.78777
62,4.093,0.5,22.78777
63,4.093,0.5,22.78777
64,4.092,0.5,22.78777
65,4.092,0.5,22.80336
66,4.092,0.5,22.80336
67,4.091,0.5,22.80336
68,4.091,0.5,22.80336
69,4.091,0.5,22.80336
70,4.09,0.5,22.80336
71,4.09,0.5,22.81896
72,4.09,0.5,22.81896
73,4.09,0.5,22.80336
74,4.089,0.5,22.80336
75,4.089,0.499,22.80336
76,4.089,0.5,22.80336
77,4.088,0.5,22.81896
78,4.088,0.5,22.81896
79,4.088,0.5,22.80336
80,4.088,0.5,22.80336
81,4.087,0.5,22.81896
82,4.087,0.5,22.81896
83,4.087,0.5,22.81896
84,4.086,0.5,22.81896
85,4.086,0.5,22.81896
86,4.086,0.5,22.81896
87,4.085,0.5,22.83455
88,4.085,0.5,22.83455
89,4.085,0.5,22.83455
90,4.085,0.5,22.83455
91,4.084,0.5,22.83455
92,4.084,0.5,22.83455
93,4.084,0.5,22.83455
94,4.084,0.5,22.83455
95,4.083,0.5,22.85014
96,4.083,0.5,22.85014
97,4.083,0.5,22.85014
98,4.083,0.5,22.85014
99,4.082,0.5,22.85014
100,4.082,0.5,22.85014
101,4.082,0.499,22.85014
102,4.082,0.5,22.85014
103,4.082,0.5,22.85014
104,4.081,0.5,22.85014
105,4.081,0.5,22.85014
106,4.081,0.5,22.85014
107,4.081,0.5,22.85014
108,4.08,0.5,22.86574
109,4.08,0.5,22.86574
110,4.08,0.5,22.85014
111,4.079,0.499,22.86574
112,4.079,0.5,22.86574
113,4.079,0.5,22.86574
114,4.079,0.5,22.86574
115,4.079,0.5,22.86574
116,4.078,0.5,22.86574
117,4.078,0.501,22.86574
118,4.078,0.5,22.86574
119,4.078,0.5,22.86574
120,4.078,0.5,22.88133
121,4.077,0.5,22.88133
122,4.077,0.5,22.86574
123,4.077,0.5,22.86574
124,4.077,0.5,22.88133
125,4.076,0.5,22.88133
126,4.076,0.5,22.88133
127,4.076,0.5,22.88133
128,4.076,0.5,22.86574
129,4.076,0.5,22.86574
130,4.076,0.5,22.88133
131,4.075,0.5,22.88133
132,4.075,0.5,22.88133
133,4.075,0.5,22.88133
134,4.075,0.5,22.88133
135,4.074,0.5,22.88133
136,4.074,0.5,22.89692
137,4.074,0.5,22.89692
138,4.074,0.5,22.89692
139,4.074,0.5,22.89692
140,4.074,0.5,22.89692
141,4.073,0.5,22.89692
142,4.073,0.5,22.91252
143,4.073,0.5,22.91252
144,4.073,0.5,22.89692
145,4.072,0.499,22.89692
146,4.072,0.499,22.91252
147,4.072,0.5,22.91252
148,4.072,0.5,22.91252
149,4.072,0.5,22.91252
150,4.072,0.5,22.89692
151,4.071,0.499,22.89692
152,4.071,0.5,22.91252
153,4.071,0.5,22.91252
154,4.071,0.5,22.91252
155,4.071,0.5,22.91252
156,4.07,0.5,22.91252
157,4.07,0.5,22.91252
158,4.07,0.5,22.92811
159,4.07,0.5,22.92811
160,4.07,0.5,22.92811
161,4.069,0.5,22.92811
162,4.07,0.5,22.92811
163,4.069,0.499,22.92811
164,4.069,0.5,22.92811
165,4.069,0.5,22.9437
166,4.069,0.5,22.92811
167,4.069,0.5,22.92811
168,4.068,0.5,22.9437
169,4.068,0.5,22.9437
170,4.068,0.5,22.9437
171,4.068,0.5,22.9437
172,4.068,0.5,22.9437
173,4.068,0.5,22.92811
174,4.067,0.5,22.9437
175,4.067,0.5,22.9437
176,4.067,0.5,22.9437
177,4.067,0.499,22.9437
178,4.067,0.5,22.9437
179,4.067,0.5,22.9437
180,4.066,0.5,22.9437
181,4.066,0.5,22.95929
182,4.066,0.5,22.9437
183,4.066,0.499,22.9437
184,4.066,0.5,22.95929
185,4.065,0.5,22.95929
186,4.065,0.5,22.95929
187,4.065,0.5,22.95929
188,4.065,0.5,22.95929
189,4.065,0.5,22.95929
190,4.065,0.5,22.95929
191,4.065,0.5,22.95929
192,4.065,0.5,22.95929
193,4.064,0.5,22.95929
194,4.064,0.5,22.95929
195,4.064,0.5,22.95929
196,4.064,0.5,22.95929
197,4.064,0.5,22.97489
198,4.064,0.5,22.97489
199,4.063,0.5,22.97489
200,4.063,0.5,22.97489
201,4.063,0.5,22.97489
202,4.063,0.5,22.97489
203,4.063,0.5,22.99048
204,4.062,0.5,22.99048
205,4.063,0.5,22.97489
206,4.062,0.5,22.97489
207,4.062,0.5,22.97489
208,4.062,0.5,22.97489
209,4.062,0.5,22.99048
210,4.062,0.499,22.99048
211,4.062,0.5,22.99048
212,4.061,0.5,22.99048
213,4.061,0.5,22.99048
214,4.061,0.5,22.99048
215,4.061,0.5,22.99048
216,4.061,0.5,22.99048
217,4.061,0.5,22.99048
218,4.061,0.5,22.99048
219,4.06,0.5,22.99048
220,4.06,0.5,22.99048
221,4.06,0.5,23.00607
222,4.06,0.5,23.00607
223,4.06,0.5,23.00607
224,4.06,0.499,23.00607
225,4.06,0.5,23.02167
226,4.059,0.5,23.02167
227,4.059,0.5,23.02167
228,4.059,0.5,23.02167
229,4.059,0.499,23.02167
230,4.059,0.5,23.03726
231,4.059,0.5,23.03726
232,4.058,0.5,23.03726
233,4.058,0.5,23.05285
234,4.058,0.499,23.05285
235,4.058,0.5,23.05285
236,4.058,0.5,23.05285
237,4.058,0.5,23.05285
238,4.058,0.5,23.05285
239,4.058,0.499,23.06845
240,4.057,0.5,23.06845
241,4.057,0.5,23.06845
242,4.057,0.5,23.06845
243,4.057,0.5,23.06845
244,4.057,0.5,23.06845
245,4.057,0.5,23.08404
246,4.056,0.5,23.08404
247,4.056,0.5,23.08404
248,4.056,0.5,23.08404
249,4.056,0.5,23.08404
250,4.056,0.5,23.06845
251,4.056,0.5,23.08404
252,4.056,0.5,23.08404
253,4.056,0.5,23.08404
254,4.055,0.5,23.08404
255,4.055,0.5,23.08404
256,4.055,0.499,23.08404
257,4.055,0.5,23.08404
258,4.055,0.5,23.08404
