,0
0,1.987482222222231
1,1.9662111944444511
2,1.9448165416666718
3,1.9199177222222314
4,1.8944932777777919
5,1.8707142244583508
6,1.848423858347242
7,1.8263024331389075
8,1.8051025037638815
9,1.784040798763852
10,1.7621089928888491
11,1.7393899528888703
12,1.7141348989444445
13,1.6750470416666718
14,1.6338842638888973
15,1.6220700104444465
16,1.6368091837777645
17,1.6484480006180284
18,1.6431757820416348
19,1.6353669081527418
20,1.6260817155972216
21,1.6154608061528475
22,1.604765932020959
23,1.593667614138997
24,1.5825087796945232
25,1.5698143505834137
26,1.5557305739167757
27,1.5459616032535066
28,1.5597279380631601
29,1.5668178760947398
30,1.5416053144723003
31,1.51422407320009
32,1.494871402777926
33,1.4797508472224536
34,1.4628977527780502
35,1.4405614583335122
36,1.4178380138889657
37,1.3956592361111557
38,1.3737675694444933
39,1.3535045500000487
40,1.3383959305555901
41,1.323492627777798
42,1.3012567500000263
43,1.2751556388889318
44,1.2512150194444862
45,1.2341119999999826
46,1.2178778028221438
47,1.2175642381110792
48,1.2256429447778485
49,1.2403508326505062
50,1.2760389863176198
51,1.277292631729265
52,1.21031984787496
53,1.1439868756082627
54,1.1081883865414865
55,1.0820379459857965
56,1.0614668272302004
57,1.0514800101247823
58,1.0432004401526809
