,0
0,1.9292033486111124
1,1.9273493412847236
2,1.925495333958335
3,1.9236413266319463
4,1.9217873193055577
5,1.919933311979169
6,1.9180793046527804
7,1.9162252973263918
8,1.9143712900000032
9,1.9125172826736145
10,1.910663275347226
11,1.9088092680208373
12,1.9069552606944487
13,1.90510125336806
14,1.9032472460416714
15,1.9013932387152828
16,1.8995392313888941
17,1.8976852240625055
18,1.8958312167361169
19,1.8939772094097282
20,1.8921232020833396
21,1.890269194756951
22,1.8884151874305624
23,1.8865611801041737
24,1.884707172777785
25,1.8828531654513965
26,1.8809991581250078
27,1.8791451507986192
28,1.8772911434722306
29,1.875437136145842
30,1.8735831288194533
31,1.8717291214930647
32,1.869875114166676
33,1.8680211068402874
34,1.8661670995138988
35,1.8643130921875102
36,1.8624590848611215
37,1.860605077534733
38,1.8587510702083443
39,1.8568970628819557
40,1.855043055555567
41,1.8534531250000106
42,1.8518631944444541
43,1.8502732638888977
44,1.8486833333333412
45,1.8470934027777848
46,1.8455034722222283
47,1.8439135416666719
48,1.8423236111111154
49,1.840733680555559
50,1.8391437500000025
51,1.837553819444446
52,1.8359638888888896
53,1.8343739583333332
54,1.8327840277777767
55,1.8311940972222203
56,1.8296041666666638
57,1.8280142361111074
58,1.826424305555551
59,1.8248343749999945
60,1.823244444444438
61,1.8216545138888816
62,1.820064583333325
63,1.8184746527777687
64,1.8168847222222122
65,1.8152947916666557
66,1.8137048611110993
67,1.8121149305555428
68,1.8105249999999864
69,1.80893506944443
70,1.8073451388888735
71,1.805755208333317
72,1.8041652777777606
73,1.8025753472222041
74,1.8009854166666477
75,1.7993954861110912
76,1.7978055555555348
77,1.7962156249999783
78,1.7946256944444219
79,1.7930357638888654
80,1.791445833333309
81,1.7906092013888655
82,1.789772569444422
83,1.7889359374999785
84,1.788099305555535
85,1.7872626736110915
86,1.786426041666648
87,1.7855894097222045
88,1.784752777777761
89,1.7839161458333175
90,1.783079513888874
91,1.7822428819444305
92,1.781406249999987
93,1.7805696180555435
94,1.7797329861111
95,1.7788963541666565
96,1.778059722222213
97,1.7772230902777695
98,1.776386458333326
99,1.7755498263888825
100,1.774713194444439
101,1.7738765624999955
