,0
0,1.9919721913888826
1,1.9748005309583312
2,1.9577515487500043
3,1.9390872423750245
4,1.9201806373750467
5,1.9025214000000468
6,1.8859907333333588
7,1.8693524652777782
8,1.8521272805555022
9,1.834814058333223
10,1.818580236110984
11,1.8033230138887812
12,1.787831659722137
13,1.7710632222221712
14,1.754103222222208
15,1.7393546388889363
16,1.726606861111243
17,1.714007048611307
18,1.7022143194445891
19,1.6905426527778544
20,1.6764478194444767
21,1.6601605972222326
22,1.6446843194444418
23,1.6336313750000357
24,1.623241930555637
25,1.6137164027778517
26,1.6049725138889073
27,1.6000293541666502
28,1.6143810277778332
29,1.6050292777777997
30,1.585622611111054
31,1.567786111111011
32,1.5534824861110488
33,1.5394717499999762
34,1.528485791666634
35,1.5186341249999402
36,1.5050132916665988
37,1.4829118333333
38,1.4612551944444436
39,1.4537649999999653
40,1.4515872222221289
41,1.441812444444299
42,1.414944416666484
43,1.3880670555553425
44,1.3728330277776577
45,1.3619652500000188
46,1.351651638889035
47,1.3425849027780261
48,1.3369427938991476
49,1.3907351287403036
50,1.370169445763881
51,1.3060450318747416
52,1.2485249641315452
53,1.2086164861108628
54,1.1706256111110254
55,1.1589361111110752
56,1.1589361111110752
